List;Discription;Title screen;Hex file;Data file;Save file;Version;Developer;Info;Likes
0;Bootloader;8bitcade_loader.png;;;;;;;
1;Maintenance;8BitCadeXL/category-screens/Maintenance.png;;;;;;;
1;Battery Test;8BitCadeXL/Maintenance/Battery Test.png;8BitCadeXL/Maintenance/Battery Test.hex;;;1.0;Jack Daly;;
1;Hardware Test;8BitCadeXL/Maintenance/HardwareTest.png;8BitCadeXL/Maintenance/HardwareTest.hex;;;1.0;Jack Daly;;
1;EEPROM Editor;8BitCadeXL/Maintenance/EepromEditor.png;8BitCadeXL/Maintenance/EepromEditor.hex;;;1.0;Press Play On Tape;;
2;Arcade;8BitCadeXL/category-screens/Arcade.png;;;
2;CyberHack;8BitCadeXL/Arcade/CyberHack.png;8BitCadeXL/Arcade/CyberHack.hex;;;;;;
2;'Ard Drivin';8BitCadeXL/Arcade/Ard-Drivin.png;8BitCadeXL/Arcade/Ard-Drivin.hex;;;1.0;Rem;A fast paced racing sim.;23
2;ArduBOYNG;8BitCadeXL/Arcade/ArduBOYNG.png;8BitCadeXL/Arcade/ArduBOYNG.hex;;;0.81;Troubadixx;Pong. What more do you need to say?;5
2;ArduBreakout;8BitCadeXL/Arcade/ArduBreakout.png;8BitCadeXL/Arcade/ArduBreakout.hex;;;1.0;SebGoscik;An Arduboy version of the classic game Breakout!;5
2;ArduBuggy;8BitCadeXL/Arcade/ArduBuggy.png;8BitCadeXL/Arcade/ArduBuggy.hex;;;;1.0;Nono_Nono;A moon patrol remake.;10
2;ArduIndy_2_5;8BitCadeXL/Arcade/ArduIndy_2_5.png;8BitCadeXL/Arcade/ArduIndy_2_5.hex;;;;;
2;Boris Goes Skiing;8BitCadeXL/Arcade/BorisGoesSkiing.png;8BitCadeXL/Arcade/BorisGoesSkiing.hex;;;;1.0;sones;Boris Goes Skiing is a clone of the ZX Spectrum game Horace goes skiing.;3
2;Bounce;8BitCadeXL/Arcade/Bounce.png;8BitCadeXL/Arcade/Bounce.hex;;;;1.0;RetrobitCoder;Air hockey for the Arduboy!  Two players pick their dogsand battle to the end.;7
2;Breakout;8BitCadeXL/Arcade/Breakout.png;8BitCadeXL/Arcade/Breakout.hex;;;;;
2;BreakoutV;8BitCadeXL/Arcade/BreakoutV.png;8BitCadeXL/Arcade/BreakoutV.hex;;;;;
2;Depth Of Nightmare;8BitCadeXL/Arcade/Depth Of Nightmare.png;8BitCadeXL/Arcade/Depth Of Nightmare.hex;;
2;Digger;8BitCadeXL/Arcade/Digger.png;8BitCadeXL/Arcade/Digger.hex;;
2;Fidget Slots;8BitCadeXL/Arcade/Fidget Slots.png;8BitCadeXL/Arcade/Fidget Slots.hex;;
2;Fire Panic;8BitCadeXL/Arcade/FirePanic.png;8BitCadeXL/Arcade/FirePanic.hex;;;1.0;Press Play On Tape;Inspired by yet another Game and Watch - PPOT presents Oil Panic. Catch all the oil before it sets the shop on fire!;
2;Incher;8BitCadeXL/Arcade/Incher.png;8BitCadeXL/Arcade/Incher.hex;;
2;JetPac;8BitCadeXL/Arcade/JetPac.png;8BitCadeXL/Arcade/JetPac.hex;;;1.0;TheArduinoGuy;You are an astronaut on an alien planet with a Jet Pac. Assemble you rocket and gather fuel before taking off.;5
2;Jump Boy;8BitCadeXL/Arcade/JumpBoy.png;8BitCadeXL/Arcade/JumpBoy.hex;;;1.0;t-iwasaki;Collect the coins but be carefull as the floorboards will decrease one by one each time you land on them.;8
2;Millipe;8BitCadeXL/Arcade/Millipe.png;8BitCadeXL/Arcade/Millipe.hex;;;1.0;Dreamer2345;A small Centipede clone.;3
