List;Discription;Title;Hex;Data;Save;Version;Developer;Info;Likes
0;Bootloader;arduboy-fx-loader.png;;;;;;;
1;Action;category-screens\Action.png;;;;;;;
1;Hopper;Action\hopper.png;Action\hopper.hex;;;24;obono;;
1;Lasers;Arcade\Lasers.png;Arcade\Lasers.hex;;;19;obono;;
2;Adventure;category-screens\Adventure.png;;;;;;;
2;Catacombsofthedamned;Action\Cotd.png;Action\Cotd.hex;;;40;jhhoward;;
2;virus;arg\virus.png;arg\virus.hex;;;24;TEAMarg;;
3;Arcade;category-screens\Arcade.png;;;;;;;
3;FirePanic;Action\FirePanic.png;Action\FirePanic.hex;;;25;PressPlayOnTape;;
4;Platformer;category-screens\Platformer.png;;;;;;;
4;CasteBoy;Platformer\CastleBoy.png;Platformer\CastleBoy.hex;;;33;jlauener;;
4;SanSan;Action\Sansan.png;Action\Sansan.hex;;;18;chame;;
4;MysticBalloon;arg\MysticBalloon.png;arg\MysticBalloon.hex;;;17;TEAMarg;;
4;MidnightWild;Misc\MidnightWild.png;Misc\MidnightWild.hex;;;28;crait;;
4;OmegaHorizon;Platformer\OmegaHorizon.png;Platformer\OmegaHorizon.hex;;;15;shdwwzrd;;
