List;Discription;Title screen;Hex file;Data file;Save file;Likes;Developer
0;Bootloader;arduboy-fx-loader.png;;;;;
1;Action;category-screens\Action.png;;;;;
1;Hopper;Action\hopper.png;Action\hopper.hex;;;24;obono
1;Lasers;Arcade\Lasers.png;Arcade\Lasers.hex;;;19;obono
1;chribocchi;Arcade\chribocchi.png;Arcade\chribocchi.hex;;;12;obono
1;Bangi;Action\Bangi.png;Action\Bangi.hex;;;14;igvina
1;Technomonkey;Arcade\Technomonkey.png;Arcade\Technomonkey.hex;;;5;RetrobitCoder
1;Quadrastic;Action\Quadrastic.png;Action\Quadrastic.hex;;;0;dragula96
1;snake3;Arcade\snake3.png;Arcade\snake3.hex;;;2;WojciechKo
2;Adventure;category-screens\Adventure.png;;;;;
2;Catacombsofthedamned;Action\Cotd.png;Action\Cotd.hex;;;40;jhhoward
2;virus;arg\virus.png;arg\virus.hex;;;24;TEAMarg
2;Glove;Action\Glove.png;Action\Glove.hex;;;18;fuopy
2;Mazogs;Action\Mazogs.png;Action\Mazogs.hex;;;9;Brian
3;Arcade;category-screens\Arcade.png;;;;;
3;FirePanic;Action\FirePanic.png;Action\FirePanic.hex;;;25;PressPlayOnTape
3;Kong;Arcade\Kong.png;Arcade\Kong.hex;;;24;PressPlayOnTape
3;Kong2;Arcade\Kong2.png;Arcade\Kong2.hex;;;19;PressPlayOnTape
3;Turtlebridge;Arcade\Turtlebridge.png;Arcade\Turtlebridge.hex;;;19;PressPlayOnTape
3;DeepDishNine;Misc\DeepDishNine.png;Misc\DeepDishNine.hex;;;3;fentonc
3;2PlayersPack;Arcade\2PlayersPack.png;Arcade\2PlayersPack.hex;;;;
3;Arduman;Arcade\Arduman.png;Arcade\Arduman.hex;;;;Seth
3;Crateconfusion;Arcade\Crateconfusion.png;Arcade\Crateconfusion.hex;;;;Phoboslab
3;Ohyougonnadie;Arcade\oygd.png;Arcade\oygd.hex;;;;
3;Tinydepth;Action\Tinydepth.png;Action\Tinydepth.hex;;;;akkera102
3;PrizeFrenzy;Puzzle\prizefrenzy.png;Puzzle\prizefrenzy.hex;;;;madya121
4;Runner;category-screens\Runner.png;;;;;
4;hollowseeker;Arcade\hollowseeker.png;Arcade\hollowseeker.hex;;;21;obono
4;Chromedino;Arcade\Chromedino.png;Arcade\Chromedino.hex;;;16;flaki
4;Squario;Platformer\Squario.png;Platformer\Squario.hex;;;17;chris
4;Flappyball;Arcade\Flappyball.png;Arcade\Flappyball.hex;;;6;chris
4;Flappybird;Arcade\Flappybird.png;Arcade\Flappybird.hex;;;;GameExpress
4;YouWontSurvive;Arcade\YouWontSurvive.png;Arcade\YouWontSurvive.hex;;;3;AstroAndre
4;SFCave;Arcade\SFCave.png;Arcade\SFCave.hex;;;2;Slade1972
5;Platformer;category-screens\Platformer.png;;;;;
5;CasteBoy;Platformer\CastleBoy.png;Platformer\CastleBoy.hex;;;33;jlauener
5;SanSan;Action\Sansan.png;Action\Sansan.hex;;;18;chame
5;BigBlackBox;Platformer\BigBlackBox.png;Platformer\BigBlackBox.hex;;;;STUDIOCRAFTapps
5;njahr;Platformer\njahr.png;Platformer\njahr.hex;;;;
5;tinytower;Puzzle\tinytower.png;Puzzle\tinytower.hex;;;;akkera102
6;Strategy;category-screens\Strategy.png;;;;;
6;microcity;Arcade\microcity.png;Arcade\microcity.hex;;;37;jhhoward
6;microtd;Puzzle\microtd.png;Puzzle\microtd.hex;;;19;drummyfish
6;Ardulem;Puzzle\Ardulem.png;Puzzle\Ardulem.hex;;;20;banban
6;ARtillery;Arcade\ARtillery.png;Arcade\ARtillery.hex;;;3;bergasms
