List;Description;Title;Hex;Data;Save;Version;Developer;Info;Likes;URL;Source;Start;End;Hash
0;Bootloader;arduboy-fx-loader.png;;;;;;./Cart_GetList.php?listId=1&filename=full;;;;;;
1;MTG;temp/d94fee12-ce1a-4e42-a939-72cebe456097.png;;;;undefined;undefined;undefined;;;;;;;
1;Life Triumph;temp/phpVlD4Hx_1.png;temp/phpVlD4Hx_1.hex;;;2.11;@keigu1;MtG Life Counter;;;;900;924;0;
2;Games;temp/4615d198-7224-4d5e-aa8a-26be4cda0ec0.png;;;;undefined;undefined;undefined;;;;;;;
2;Chirno's Perfect math;temp/phpVlD4Hx_2.png;temp/phpVlD4Hx_2.hex;;;1.0;@keigu1;clone of ChibitamiDotNetWorks.;;;;999;1000;0;
2;Blade Runner;Action/BladeRunner.png;Action/BladeRunner.hex;;;1.0;NoobGeek;Your task is to move from one platform to another through the constructed blade-bridge. If you get to the exact center of the bridge, you earn one coin. Perfect hit 5 times in a row gives +5 coins. At the hard level, these indicators double. Well, also you will find a small bonus in the store :);;https://community.arduboy.com/t/blade-runner/9698;https://github.com/NoobGeek-Ilya/BladeRunner;na;na;;
2;Single Ennead;Puzzle/single_ennead.png;Puzzle/single_ennead.hex;;;1.0;Corruptio;This is a demake of the Triple Triad trading card game from the Final Fantasy franchise. In this clone, there are 100 cards to collect, each with different art and flavor text.;;https://community.arduboy.com/t/single-ennead-a-triple-triad-demake/10013;https://github.com/justecorruptio/single_ennead;na;na;;
2;Quarto;Puzzle/quarto.png;Puzzle/quarto.hex;;;1.0;Obono;An abstract strategy board game played on a 4x4 board with 16 unique pieces.;;https://community.arduboy.com/t/quarto-an-abstract-strategy-board-game/8226;https://github.com/obono/ArduboyWorks;992;1007;0;
2;Psi Colo;Puzzle/psicolo.png;Puzzle/psicolo.hex;;;1.0;Obono;A puzzle game with dice.;;https://community.arduboy.com/t/psi-colo-a-puzzle-game-with-dice/6148;https://github.com/obono/ArduboyWorks;896;923;0;
2;Yatzy;temp/phpg6ct2d_1.png;temp/phpg6ct2d_1.hex;;;1.3;shdwwzrd;A dice game where you need to role combinations before running out of attempts.;;;;986;987;0;
3;Application;category-screens/Application.png;;;;;;;;;;;;;
3;Morse Code Trainer;Application/morse_V0.10.png;Application/morse_V0.10.hex;;;V0.10;obono;Decode Morse code to Alphabet or Japanese letters. (Actually this is not a game!);;https://community.arduboy.com/t/morse-code-trainer/10702;https://github.com/obono/ArduboyWorks;na;na;na;
3;EEPROM Editor;Application/EEPROMEditor.png;Application/EepromEditor.hex;;;1.0;Press Play on Tape;Inspired by Crait's Arduboy Assistant, this version has been expanded to show 25 bytes at a time (to give context) with the current cell highlighted in the middle.;;https://community.arduboy.com/t/eeprom-reader-now-should-be-called-eeprom-updater/6102;https://github.com/Press-Play-On-Tape/EEPROMReader;;;;
