List;Description;Title;Hex;Data;Save;Version;Developer;Info;Likes;URL;Source;Start;End;Hash
0;Bootloader;arduboy-fx-loader.png;;;;;;;;;;;;
1;My Top 70;temp/418732b1-6ffb-49fc-9185-5effeccdcfae.png;;;;undefined;undefined;undefined;;;;;;;
1;UAPs Must DIE!;Arcade/UAPsMustDIE.png;Arcade/UAPsMustDIE.hex;;;V1.0;TropicAnthropic;Destroy UAPs, survive, and save the earth!;;https://community.arduboy.com/t/isometric-shooter-uaps-must-die/11315;https://github.com/TropicAnthropic/UAPs-Must-DIE;;;;
1;Juno First;Action/Junofirst.png;Action/Junofirst.hex;;;1.0.1;Press Play On Tape;Kill each wave of attacking aliens before you fuel or health runs out. Rescue the captured astronaut to get extra points!;;https://community.arduboy.com/t/juno-first-1-01/5554;https://github.com/Press-Play-On-Tape/JunoFirst;316;358;0;
1;Pipes;Puzzle/Pipes.png;Puzzle/Pipes.hex;;;1.0;Press Play on Tape;A version of the classic pipes game where you must lay pipe between each pair of nodes without the pipes crossing each other. This version has puzzles ranging from 5 x 5 to 9 x 9.;;https://community.arduboy.com/t/pipes-game-5x5-to-9x9/3756;https://github.com/Press-Play-On-Tape/LayingPipe;16;22;0;
1;Video Poker;Puzzle/VideoPoker.png;Puzzle/VideoPoker.hex;;;V1.0;delpozzo;A 5-card poker game for Arduboy ported from the Gamebuino version.;;https://community.arduboy.com/t/video-poker-for-arduboy/5801;https://github.com/delpozzo/videopoker-arduboy;;;;
1;Begemmed;arg/begemmed.png;arg/begemmed.hex;;;1.0;Team ARG;Get three or more matching gems in a row by swapping adjacent gems.;;https://community.arduboy.com/t/begemmed-fourth-team-a-r-g-game/515;;na;na;na;
1;3in1A;Multi/3in1A.png;Multi/3in1A.hex;;;1.0;Daniel C (Electro L.I.B);Three games in one - Space Invaders, Pinball and Pacman.;;https://sites.google.com/view/arduino-collection/arduboy;https://drive.google.com/uc?export=download&id=1xqWnXN_463UetaXq6PyVUGB_f_at8qCd;na;na;na;
1;Blob Attack;arg/Blobattack.png;arg/Blobattack.hex;;;1.0;Team ARG;A falling block game.;;https://community.arduboy.com/t/blob-attack-first-native-team-a-r-g-game/283;;na;na;na;
1;Dark and Under II (DEMO VERSION ONLY);RPG/Deeper-Under-V0005.png;RPG/Deeper-Under-V0005.hex;RPG/Deeper-Under-V0005.bin;FXFiles/FXData_Save.bin;V0.0005;Garage Collective;A dungeon crawler for the Arduboy.;;https://community.arduboy.com/t/dark-under-ii-playable-demo-game/11066;;;;;
1;Love Rush;Arcade/Loverush.png;Arcade/Loverush.hex;;;1.0;Vampirics;A cute infinite shooter for Arduboy.;;https://community.arduboy.com/t/loverush-cute-infinite-shooter/5424;https://github.com/vampirics/LoveRush;144;147;0;
1;Tiny Asteroids;Shooter/TinyAsteroids.png;Shooter/TinyAsteroids.hex;;;1.0;akkera102;An Asteroids (1979) clone.;;https://community.arduboy.com/t/tiny-asteroids-zero-gravity/993;https://github.com/akkera102/06_tiny_asteroids;0;19;0;
