List;Discription;Title;Hex;Data;Save;Version;Developer;Info;Likes
0;Bootloader;arduboy-fx-loader.png;;;;;./PPOT_Cats.csv;./8BitCadeXL.csv;
1;Favourites;category-screens/ppot/Favourites.png;;;;;;;
1;'Ard Drivin';8BitCadeXL/Arcade/Ard-Drivin.png;8BitCadeXL/Arcade/Ard-Drivin.hex;;;1.0;Rem;A fast paced racing sim.;
2;Adventure;category-screens/ppot/Adventure.png;;;;;;;
2;Curse of Astarok;8BitCadeXL/RPG/Astarok.png;8BitCadeXL/RPG/Astarok.hex;;;undefined;undefined;undefined;
2;Trials of Astarok;8BitCadeXL/RPG/Curse of Astarok.png;8BitCadeXL/RPG/Curse of Astarok.hex;;;undefined;undefined;undefined;
2;CyberHack;8BitCadeXL/Arcade/CyberHack.png;8BitCadeXL/Arcade/CyberHack.hex;;;;;;
2;MiniRogue;8BitCadeXL/RPG/MiniRogue.png;8BitCadeXL/RPG/MiniRogue.hex;;;;;;
3;Arcade;category-screens/ppot/Arcade.png;;;;;;;
3;1944;8BitCadeXL/Shooter/1944.png;8BitCadeXL/Shooter/1944.hex;;;;;;
3;Juno First;8BitCadeXL/Shooter/Junofirst.png;8BitCadeXL/Shooter/Junofirst.hex;;;;;;
3;Space Cab;8BitCadeXL/Arcade/SpaceCab.png;8BitCadeXL/Arcade/SpaceCab.hex;;;;;;
3;1nvader;8BitCadeXL/Shooter/1nvader.png;8BitCadeXL/Shooter/1nvader.hex;;;;;;
3;Choplifter;8BitCadeXL/Platformer/Choplifter.png;8BitCadeXL/Platformer/Choplifter.hex;;;;;;
3;Karateka;8BitCadeXL/Fighting/Karateka.png;8BitCadeXL/Fighting/Karateka.hex;;;;;;
3;Lode Runner;8BitCadeXL/Action/LodeRunner.png;8BitCadeXL/Action/LodeRunner.hex;8BitCadeXL/Action/LevelData.bin;;;;;
3;Love Rush;8BitCadeXL/Shooter/LoveRush.png;8BitCadeXL/Shooter/LoveRush.hex;;;;;;
4;Gameandwatch;category-screens/ppot/Gameandwatch.png;;;;;;;
4;Fire Panic;8BitCadeXL/Arcade/FirePanic.png;8BitCadeXL/Arcade/FirePanic.hex;;;;;;
4;Kong;8BitCadeXL/Platformer/Kong.png;8BitCadeXL/Platformer/Kong.hex;;;;;;
4;Kong2;8BitCadeXL/Platformer/Kong2.png;8BitCadeXL/Platformer/Kong2.hex;;;;;;
4;LionTamer;8BitCadeXL/Platformer/LionTamer.png;8BitCadeXL/Platformer/LionTamer.hex;;;;;;
4;OilPanic;8BitCadeXL/Arcade/OilPanic.png;8BitCadeXL/Arcade/OilPanic.hex;;;;;;
4;Turtle Bridge;8BitCadeXL/Action/TurtleBridge.png;8BitCadeXL/Action/TurtleBridge.hex;;;;;;
5;Puzzles;category-screens/ppot/Puzzles.png;;;;;;;
5;LeWord;8BitCadeXL/Puzzle/LeWord.png;8BitCadeXL/Puzzle/LeWord.hex;8BitCadeXL/Puzzle/LeWord.bin;;;;;
5;Logix;8BitCadeXL/Puzzle/Logix.png;8BitCadeXL/Puzzle/Logix.hex;;;;;;
5;Pipes;8BitCadeXL/Puzzle/Pipes.png;8BitCadeXL/Puzzle/Pipes.hex;;;;;;
5;PiCross;8BitCadeXL/Puzzle/Picross.png;8BitCadeXL/Puzzle/Picross.hex;;;;;;
6;Racing;category-screens/ppot/Racing.png;;;;;;;
6;Road Trip;8BitCadeXL/Racing/RoadTrip.png;8BitCadeXL/Racing/RoadTrip.hex;;;;;;
7;Tabletop;category-screens/ppot/Tabletop.png;;;;;;;
7;Blackjack;8BitCadeXL/Board/Blackjack.png;8BitCadeXL/Board/Blackjack.hex;;;;;;
7;Cribbage;8BitCadeXL/Board/Cribbage.png;8BitCadeXL/Board/Cribbage.hex;;;;;;
7;Dominoes;8BitCadeXL/Board/Dominoes.png;8BitCadeXL/Board/Dominoes.hex;;;;;;
7;Farkle;8BitCadeXL/Board/Farkle.png;8BitCadeXL/Board/Farkle.hex;;;;;;
7;GermanWhist;8BitCadeXL/Board/Germanwhist.png;8BitCadeXL/Board/Germanwhist.hex;;;;;;
8;Application;category-screens/ppot/Application.png;;;;;;;
8;Golfer's Companion;8BitCadeXL/Sport/GolfCompanion.png;8BitCadeXL/Sport/GolfCompanion.hex;;;;;;
8;EEPROM Editor;8BitCadeXL/Maintenance/EepromEditor.png;8BitCadeXL/Maintenance/EepromEditor.hex;;;;;;
8;CodersToolbox;8BitCadeXL/Creative/CodersToolbox.png;8BitCadeXL/Creative/CodersToolbox.hex;;;;;;
9;Side Projects;category-screens/ppot/Sideprojects.png;;;;;;;
9;Dark And Under;8BitCadeXL/RPG/DarkAndUnder.png;8BitCadeXL/RPG/DarkAndUnder.hex;;;;;;
