List;Description;Title;Hex;Data;Save;Version;Developer;Info;Likes;URL;Source;Start;End;Hash
0;Bootloader;arduboy-fx-loader.png;;;;;;./Cart_GetList.php?listId=3&filename=full;;;;;;
1;New;temp/5311ecb1-19ab-438a-897a-3a3c9347d91b.png;;;;undefined;undefined;undefined;;;;;;
1;Coder's Toolbox;Application/Toolbox.png;Application/Toolbox.hex;;;1;Press Play on Tape;"A toolbox of tools for developing ArduboyTones compatible music and Sprites compatible images. The toolbox permits you to save the progress of your creations in EEPROM allowing you to complete your masterpieces over a number of sessions. Once complete; the output can be downloaded using a serial monitor (like that shipped with the Arduino IDE) in a format you can then paste directly into an Arduboy sketch.";;https://community.arduboy.com/t/coders-toolbox-game-jam-4/8279;https://github.com/Press-Play-On-Tape/CodersToolbox;25;1023;0
1;Evade 2;Arcade/Evade2.png;Arcade/Evade2.hex;;;1;Modus Create;A space flight / fight simulator.;;https://community.arduboy.com/t/evade-2-arduboys-first-space-flight-sim/4634;https://github.com/ModusCreateOrg/evade2;na;na;na
1;Bone Shakers;Racing/BoneShakers.png;Racing/BoneShakers.hex;;;1;jhhoward;Bone Shakers is a racing game where skeletons ride unicycles around a dungeon race track. In part inspired by Super Mario Kart for the SNES.;;https://community.arduboy.com/t/bone-shakers-unofficial-game-jam-4/6406;https://github.com/jhhoward/BoneShakers/releases;na;na;na
1;Dice Of Fate;arg/Diceoffate.png;arg/Diceoffate.hex;;;1;Team ARG;"A dice utility. Choose between a coin or a 4; 6; 8; 10; 12; 20 or 100 sided dice.";;https://community.arduboy.com/t/dice-of-fate-seventh-team-a-r-g-game/1101;https://github.com/Team-ARG-Museum/ID-37-DICE-of-FATE;na;na;na
1;Lasers;Arcade/Lasers.png;Arcade/Lasers.hex;;;1;Obono;Lasers - A simple Ikaruga-like game.;;https://community.arduboy.com/t/lasers-a-simple-ikaruga-like-game/7310s;https://github.com/obono/ArduboyWorks;960;991;0
2;Games;temp/f88dc07d-5408-48b0-b420-af050d6c926e.png;;;;undefined;undefined;undefined;;;;;;
2;Beam 'em Up;Arcade/BeamEmUp.png;Arcade/BeamEmUp.hex;;;1;BenUnwired;"You play a space squid that just wants to mess with some local cows. Move around the multi-screen landscape and use the A button to tractor beam the creatures and move them around the screen. Stopping the beam will let them go; but they're pretty resilient.";;https://community.arduboy.com/t/beam-em-up-game-jam-5/9200;https://github.com/unwiredben/arduboy-beamemup;;;
2;Hello Commander;RPG/HelloCommander.png;RPG/HelloCommander.hex;;;1;Fmanga;"Hello; Commander' is a Turn-Based Strategy game for the Arduboy.";;https://community.arduboy.com/t/hello-commander/4601;https://github.com/felipemanga/HelloCommander;na;na;na
2;i4Arduboy;Shooter/l4arduboy.png;Shooter/l4arduboy.hex;;;1;Yomogimaru;i4arduboy is a horizontal shmup. Control a submarine and snipe far enemies on off-screen with torpedos!;;https://community.arduboy.com/t/i4arduboy-a-shmup-with-long-range-sniping/569;https://github.com/yomogimaru/i4arduboy;150;174;0
