List;Discription;Title;Hex;Data;Save;Version;Developer;Info;Likes
0;Bootloader;8bitcade_loader.png;;;;;;;
1;Sports;category-screens/Sports.png;;;;;;;
1;Skate Ard Die;Sports/SkateArdDie.png;Sports/SkateArdDie.hex;;;1.0;pixelplatforms;Skateboarding on the Arduboy.;
1;Ardletics;Sports/Ardletics.png;Sports/Ardletics.hex;;;1.0;igvina;Ardletics - Athletics for Arduboy;
1;Boris Goes Skiing;Arcade/Borisgoesskiing.png;Arcade/Borisgoesskiing.hex;;;1.0;sones;Boris Goes Skiing is a clone of the ZX Spectrum game Horace goes skiing.;
1;ArduBall;Arcade/ArduBall.png;Arcade/ArduBall.hex;;;1.0;2BarrelShotgun;Basketball for the Arduboy.;
1;Tiny Trick Hockey;Sports/tinytrick.png;Sports/tinytrick.hex;;;1.0;ElectroLIB;Icehockey for the Arduboy.;
2;Music;category-screens/Music.png;;;;;;;
2;abSynth-FM;Misc/abSynthFM.png;Misc/abSynthFM.hex;;;1.0;boochow;FM Synthesizer with 16-step sequencer for Arduboy.;
2;Musicgen Pocket;Application/musicgenpocket.png;Application/musicgenpocket.hex;;;1.0;inajob;MusicGenN Pocket is 8bit mugic generator for Arduboy. All you have to do is turn on your Arduboy and you can listen 8bit music everywhere!;
2;ArduMetronome;Application/ArduMetronome.png;Application/ArduMetronome.hex;;;1.0;raspberrybrain;Use it when practicing a musical instrument (except for maybe a drum set, it probably isn’t loud enough for that), or turn it on and hide it somewhere to annoy your family, friends and loved ones with incessant beeps.;
2;Nanoseq;Misc/nanoseq.png;Misc/nanoseq.hex;;;1.0;inajob;A nano sized sequencer for Arduboy.;
2;Petitseq;Misc/petitseq.png;Misc/petitseq.hex;;;1.0;inajob;Petitseq - petit size sequencer for Arduboy.;
2;Arduloop;Misc/arduloop.png;Misc/arduloop.hex;;;1.0;possan;Produce interesting chiptune-ish loops on the internal beeper.;
3;Application;category-screens/Application.png;;;;;;;
3;Egg Master Pro 2020;Application/eggmaster.png;Application/eggmaster.hex;;;1.0;Prototype;Here is the Egg Master Pro 2020. To be taken with a grain of salt. Hope you like it!;
3;Arduboy Gamepad;Application/ArduboyGamepad.png;Application/ArduboyGamepad.hex;;;1.0;fuopy;Arduboy Gamepad allows you to map your Arduboy’s buttons to keyboard keys.;
3;Virtual Gamepad;Application/VirtualGamepad.png;Application/VirtualGamepad.hex;;;1.0;eried;Virtual Gamepad allows you to map your Arduboy’s buttons to keyboard keys.;
3;Graph;Application/Graph.png;Application/Graph.hex;;;1.0;V360;A small graphing calculator for Arduboy! Very simple, though. More of a novelty than an actual calculator.;
3;Graph 2;Application/graph2.png;Application/graph2.hex;;;1.0;V360;A fully-functional graphing calculator! It’s ten times better than Graph 1, because you can enter your own expression from scratch!;
3;ArduSaver;Application/ArduSaver.png;Application/ArduSaver.hex;;;1.0;Prototype;Do you feel your OLED is suffering from critical levels of burn-in? Is nostalgia spoiling your working day? ArduSaver to the rescue!;
3;Screen Saver;Demos/screensaver.png;Demos/screensaver.hex;;;1.0;blockbird;A screen saver of fascinating shapes.;
3;Golfer's Companion;Application/GolfCompanion.png;Application/GolfCompanion.hex;;;1.0;Vampirics;The Golf Companion for the Arduboy. Keep scores for up to 4 players.;
3;Arduboy Life;Misc/ArduboyLife.png;Misc/ArduboyLife.hex;;;1.0;MLXXXp;Arduboy gets a Life (Conway’s Game of Life);
